case;set;source;sex;age;agecat;education;profstatus;position;si1;si2;si3;si17;si13;si14;si15;si4;si25;si5;si26;si6;si27;si28;si7;si18;si20;si21;si9;si10;si11;si22;si8;si23;si19;si16;si29;si30;si12;si24;si31;si32
603;validation;company;female;46-55;old; ;working;employee;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;4;6;4;1;5;2;5;5;5;5;4;4;1;0;5;5;5
1 154;validation;daycare;female; ; ;collegevocational;working;employee;3;2;3;6;3;4;5;2;6;3;4;4;0;2;4;5;3;5;4;5;4;3;6;2;6;4;4;4;5;5;3;4
638;validation;student;female;21-25;young;collegevocational;student; ;3;3;4;4;5;4;3;4;2;4;5;5;3;2;5;4;5;2;3;5;4;4;5;2;4;4;5;2;4;3;5;3
272;validation;daycare;female; ; ;collegevocational;working;employee;5;5;4;4;5;4;5;5;5;4;5;4;4;3;4;5;5;4;3;5;3;5;4;5;5;4;5;2;2;4;5;4
16;validation;student;female;21-25;young;collegevocational;student; ;3;4;3;4;3;3;5;3;4;5;4;5;2;4;5;4;4;6;5;4;3;4;5;3;4;3;4;2;3;5;4;3
1 075;validation;daycare;female; ; ;collegevocational;working;manager;5;5;4;4;5;5;5;5;5;4;4;4;4;4;4;5;5;3;2;5;1;4;4;5;4;5;5;1;2;4;5;4
1 079;validation;daycare;female; ; ;collegevocational;working;employee;5;4;5;6;5;5;5;5;5;4;5;4;5;4;4;4;5;4;2;4;2;4;4;4;5;4;5;0;3;5;4;4
1 126;validation;daycare;female; ; ;collegevocational;working;employee;4;4;4;5;3;3;3;4;5;6;5;5;4;5;5;4;5;5;3;5;2;4;5;4;4;4;4;1;1;4;4;4
690;validation;daycare;female; ; ;collegevocational;working;employee;5;5;5;4;5;5;6;3;5;6;5;5;4;5;5;3;5;4;3;5;1;5;5;4;5;4;5;0;1;5;5;5
507;validation;daycare;female; ; ;collegevocational;working;employee;4;4;4;4;3;4;4;4;4;4;4;4;3;5;4;;4;4;3;5;3;4;5;3;4;4;3;3;2;4;4;3
681;validation;daycare;female; ; ;collegevocational;working;employee;4;5;4;5;4;4;4;5;4;6;4;5;3;4;5;4;4;5;2;6;2;4;5;4;4;4;4;2;2;5;4;5
147;validation;daycare;female; ; ;collegevocational;working;employee;4;4;4;4;3;3;3;5;5;6;5;5;3;4;5;4;5;3;3;5;3;3;5;4;5;3;4;2;2;4;4;4
216;validation;company;female;36-45;old; ;working;employee;2;3;3;2;2;2;2;2;5;4;4;4;3;4;4;2;3;4;4;2;4;3;4;3;3;2;4;4;5;2;2;3
343;validation;daycare;female; ; ;collegevocational;working;employee;4;5;5;5;5;5;5;4;6;5;4;4;4;5;5;4;4;4;3;5;2;4;;5;5;5;5;1;2;5;5;5
324;validation;daycare;female; ; ;collegevocational;working;employee;4;4;4;4;4;4;4;4;6;4;3;4;4;4;4;3;4;4;3;4;2;6;5;3;4;4;5;1;2;5;4;4
1 054;validation;company;female;21-25;young; ;working;employee;4;4;4;3;4;3;5;4;3;4;4;4;3;3;4;3;3;3;3;6;3;3;5;2;3;3;3;2;2;3;4;4
367;validation;daycare;female; ; ;collegevocational;working;employee;3;3;3;3;3;3;4;3;4;4;5;4;3;3;3;3;4;5;3;4;4;3;5;3;4;2;3;3;3;3;4;3
1 019;validation;company;female;36-45;old; ;working;employee;3;3;3;4;5;4;3;3;5;3;4;3;3;;4;4;4;4;;4;2;4;4;3;3;4;4;2;;3;4;4
518;validation;company;female;46-55;old; ;working;manager;5;4;5;5;5;5;5;5;5;4;4;4;3;4;5;3;4;3;2;5;3;5;4;4;4;5;5;2;2;5;4;5
799;validation;daycare;female; ; ;collegevocational;working;employee;6;6;6;6;6;6;6;6;6;6;6;6;6;5;6;6;6;6;1;6;1;6;6;5;6;6;6;1;0;6;5;6
251;validation;daycare;female; ; ; ;working;employee;5;5;5;5;6;5;6;5;6;5;5;5;6;5;6;4;6;6;2;6;0;6;5;5;6;6;6;0;0;5;5;6
989;validation;daycare;female; ; ;collegevocational;working;employee;6;5;4;6;6;4;6;4;5;5;5;5;5;4;4;3;4;4;1;6;3;6;;5;5;5;6;0;1;4;5;5
1 070;validation;company;female;26-30;young; ;working;employee;5;4;4;3;2;2;2;4;4;5;1;4;4;2;5;4;1;3;3;3;5;3;4;3;3;3;2;3;5;5;5;5
320;validation;daycare;female; ; ; ;working;manager;5;5;5;6;4;4;4;4;6;5;5;5;5;4;5;5;5;4;3;5;2;6;6;4;5;4;5;1;1;5;4;5
414;validation;company;female;56-65;old; ;working; ;4;4;5;4;3;5;4;4;3;5;4;5;3;4;5;4;4;4;3;4;3;4;5;4;4;4;4;3;3;4;4;4
619;validation;daycare;female; ; ;collegevocational;working;employee;4;5;5;5;6;5;4;4;4;5;4;4;3;3;5;4;5;4;3;4;3;4;5;4;6;4;6;2;4;4;4;4
814;validation;daycare;female; ; ;collegevocational;working;employee;4;5;5;6;4;5;5;4;5;6;5;5;5;5;6;3;6;4;2;5;4;5;6;4;5;5;5;1;0;4;6;5
535;validation;student;female;36-45;old;academic;working; ;4;5;5;5;5;5;5;5;5;4;4;5;3;3;4;4;3;3;2;;2;5;4;3;4;3;5;1;2;5;5;5
508;validation;company;female;56-65;old; ;working;manager;5;3;4;5;5;3;3;4;4;5;3;4;4;3;4;3;4;4;5;6;5;4;4;3;4;3;4;1;2;2;5;4
