Id      	Gender  	Age     	G1      	G2      	G3      	G4      	G5      	G6      	G7      	G8      	G9      	G10     	G11     	GamblF  	GFalla  	SensaS  	SuperS  	EconG   	PareG   	PeerG   	Nsymp   	P3prob  	P2prob  
     85	  2	 14.41666667	  1	  1	  1	  0	  0	  0	  0	  0	  0	  0	  0	  3	  2	 25	 22	 28	  0	  1	  1	  0	  0
     86	  2	 14.41666667	  1	  2	  0	  1	  0	  0	  1	  0	  1	  0	  0	  6	  2	 32	 24	 29	  1	  1	  1	  0	  0
     87	  2	 14.41666667	  2	  1	  2	  0	  0	  1	  2	  1	  1	  0	  3	 13	  2	 28	 30	 39	  1	  1	  2	  1	  1
     88	  1	 14.50000000	  4	  0	  1	  3	  0	  0	  0	  1	  1	  0	  0	 10	   	 27	  8	 23	  1	  1	  0	  2	  1
     89	  1	 14.50000000	  1	  0	  0	  0	  0	  0	  4	  0	  2	  0	  0	  7	  4	 29	 14	 36	  0	  1	  0	  2	  1
     90	  1	 14.50000000	  1	  0	  0	  0	  0	  1	  0	  1	  1	  0	  0	  4	  6	 26	 20	 32	  1	  1	  0	  0	  0
     91	  1	 14.50000000	  1	  0	  0	  0	  0	  1	  1	  0	  2	  2	  0	  7	  1	 35	 25	 31	  1	  1	  0	  0	  0
     92	  1	 14.50000000	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  3	 16	 18	 43	  1	  0	  0	  0	  0
     93	  1	 14.50000000	  0	  0	  0	  0	  0	  2	  0	  0	  0	  0	  0	  2	  6	 23	 20	 36	  0	  0	  0	  0	  0
     94	  1	 14.50000000	  2	  1	  1	  1	  0	  1	  1	  2	  3	  2	  3	 17	  2	 32	 16	 25	  0	  1	  1	  1	  1
     95	  1	 14.50000000	  2	  0	  0	  0	  0	  2	  0	  0	  3	  2	  0	  9	  2	 26	 21	 34	  0	  1	  1	  1	  1
     96	  1	 14.50000000	  1	  0	  0	  1	  0	  0	  0	  2	  1	  1	  0	  6	  2	 23	 25	 35	  0	  1	  1	  0	  0
     97	  1	 14.50000000	  3	  0	  0	  3	  2	  0	  0	  0	  4	  4	  0	 16	  0	 26	 25	 24	  0	  1	  2	  2	  1
     98	  1	 14.50000000	  3	  0	  0	  3	  0	  0	  0	  1	  4	  3	  0	 14	  1	 30	 19	 37	  1	  1	  3	  2	  1
     99	  1	 14.50000000	  1	  2	  0	  1	  0	  1	  2	  0	  0	  0	  0	  7	  2	 19	 14	 41	  1	  1	  4	  2	  1
    100	  1	 14.50000000	  0	  0	  1	  3	  0	  1	  0	  1	  1	  0	  0	  7	  6	 30	 14	 32	  0	  1	  0	  0	  0
    101	  1	 14.50000000	  2	  1	  1	  3	  0	  1	  2	  0	  2	  2	  0	 14	  6	   	 14	 25	  0	  1	  1	  1	  1
    102	  2	 14.50000000	  3	  1	  2	  0	  0	  1	  2	  2	  3	  2	  0	 16	  6	 26	 17	 40	  0	  1	  0	  0	  0
    103	  2	 14.50000000	  1	  1	  0	  0	  0	  0	  1	  0	  3	  3	  0	  9	  3	 32	 20	 25	  1	  1	  0	  0	  0
    104	  2	 14.50000000	  3	  0	  0	  0	  0	  0	  0	  0	  1	  0	  0	  4	  0	 24	 19	 38	  1	  0	  0	  0	  0
    105	  2	 14.50000000	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  2	 21	 24	 39	  0	  1	  0	  0	  0
    106	  2	 14.50000000	  3	  0	  0	  0	  0	  1	  1	  0	  3	  0	  2	 10	  6	 30	 22	 41	  1	  1	  1	  1	  1
    107	   	 14.58333333	  0	  0	  0	  0	  0	  0	  0	  0	  1	  1	  0	  2	  4	 35	 26	 31	  1	  1	  0	  0	  0
    108	  1	 14.58333333	  3	  1	  0	  2	  0	  0	  0	  0	  0	  0	  0	  6	  2	 27	 19	 27	  0	  1	  0	  0	  0
    109	  1	 14.58333333	  2	  1	  0	  0	  0	  0	  0	  1	  2	  1	  1	  8	  6	 29	 28	 38	  1	  1	  0	  0	  0
    110	  1	 14.58333333	  1	  0	  0	  0	  0	  0	  0	  0	  1	  1	  0	  3	  1	 29	 10	 20	  0	  1	  0	  0	  0
    111	  1	 14.58333333	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  6	 27	 24	 34	  0	  1	  0	  0	  0
    112	  1	 14.58333333	  3	  1	  0	  0	  0	  0	  0	  1	  3	  1	  0	  9	  6	 24	 23	 39	  0	  1	  1	  1	  1
    113	  1	 14.58333333	  1	  0	  0	  0	  0	  3	  1	  0	  0	  0	  0	  5	  2	 20	 27	 33	  0	  1	  1	  1	  1
    114	  1	 14.58333333	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  2	 34	   	 37	  0	  0	  3	  1	  1
    115	  2	 14.58333333	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  4	 25	  8	 45	  0	  0	  0	  0	  0
    116	  2	 14.58333333	  0	  0	  0	  0	  0	  0	  0	  0	  1	  0	  0	  1	  3	 25	 12	 40	  0	  1	  0	  0	  0
    117	  2	 14.58333333	  2	  1	  1	  1	  0	  1	  1	  1	  1	  3	  0	 12	  4	 24	 16	 29	  1	  1	  1	  1	  1
    118	  2	 14.58333333	  3	  0	  3	  0	  0	  0	  0	  0	  0	  0	  0	  6	  5	 32	 26	 40	  0	  1	  3	  2	  1
    119	  1	 14.66666667	  3	  0	  0	  2	  0	  0	  0	  0	  1	  1	  0	  7	  6	 31	 15	 33	  1	  1	  0	  0	  0
    120	  1	 14.66666667	  3	  1	  2	  2	  0	  0	  2	  0	  0	  0	  0	 10	  6	 23	 24	 33	  0	  1	  0	  0	  0
    121	  1	 14.66666667	  2	  0	  0	  0	  0	  1	  0	  0	  2	  2	  0	  7	  4	 27	 17	 28	  0	  0	  0	  0	  0
    122	  1	 14.66666667	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  1	  2	 21	 20	 41	  0	  1	  0	  0	  0
    123	  1	 14.66666667	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  1	  1	 29	 16	 40	  0	  0	  0	  0	  0
    124	  1	 14.66666667	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  1	  6	 18	 24	 43	  0	  0	  0	  0	  0
    125	  1	 14.66666667	  2	  0	  0	  1	  0	  0	  0	  0	  2	  2	  3	 10	  6	 20	 10	 34	  1	  1	  1	  1	  1
    126	  1	 14.66666667	  2	  0	  0	  0	  0	  0	  0	  1	  1	  2	  1	  7	  2	   	 32	 28	  0	  1	  1	  0	  0
    127	  1	 14.66666667	  1	  0	  1	  3	  0	  1	  0	  1	  3	  3	  0	 13	  4	 22	 14	 35	  0	  1	  2	  1	  1
    128	  1	 14.66666667	  4	  2	  3	  3	  2	  0	  2	  3	  3	  3	  0	 25	  3	 30	 18	 38	  0	  0	  5	  2	  1
    129	  1	 14.66666667	  3	  2	  0	  0	  0	  0	  0	  0	  0	  1	  0	  6	  6	 19	 18	 16	  0	  1	  0	  0	  0
    130	  1	 14.66666667	  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	  0	  1	  6	 22	 21	 40	  0	  0	  0	  0	  0
    131	  1	 14.66666667	  0	  0	  1	  2	  0	  0	  0	  0	  2	  2	  0	  7	  4	 29	 13	 44	  0	  0	  0	  0	  0
    132	  2	 14.66666667	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  6	 29	 22	 37	  0	  0	  0	  0	  0
    133	  2	 14.66666667	  1	  3	  3	  2	  0	  1	  3	  1	  2	  2	  1	 19	  4	 30	 22	 30	  0	  1	  0	  0	  0
    134	  2	 14.66666667	  3	  0	  0	  0	  0	  1	  0	  0	  1	  0	  0	  5	  4	 19	 21	 33	  1	  0	  0	  0	  0
    135	  2	 14.66666667	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  1	  6	 22	 26	 43	  0	  0	  0	  0	  0
    136	  2	 14.66666667	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  1	  4	 22	 18	 35	  0	  0	  0	  0	  0
    137	  2	 14.66666667	  1	  0	  0	  0	  0	  0	  0	  0	  2	  0	  0	  3	  0	 27	 26	 35	  1	  0	  0	  0	  0
    138	  2	 14.66666667	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  5	 17	 15	 39	  0	  0	  0	  0	  0
    139	  2	 14.66666667	  0	  1	  0	  0	  0	  1	  0	  0	  0	  0	  0	  2	  6	 30	 26	 38	  0	  0	  0	  0	  0
    140	  1	 14.75000000	  1	  0	  0	  3	  0	  0	  0	  0	  3	  3	  0	 10	  6	 28	 23	 30	  1	  1	  0	  0	  0
    141	  1	 14.75000000	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  5	 14	 21	 41	  0	  0	  0	  0	  0
    142	  1	 14.75000000	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	   	 26	 22	 42	  0	  1	  0	  0	  0
    143	  1	 14.75000000	  0	  0	  3	  0	  0	  0	  0	  0	  1	  1	  0	  5	  2	 28	 17	 45	  0	  0	  1	  1	  1
    144	  1	 14.75000000	  2	  0	  1	  0	  0	  0	  0	  1	  0	  0	  0	  4	  6	 32	 13	 31	  1	  1	  1	  0	  0
    145	  1	 14.75000000	  3	  1	  0	  0	  0	  0	  0	  0	  0	  0	  3	  7	  2	 17	 20	 31	  0	  1	  2	  1	  1
    146	  1	 14.75000000	  3	  0	  0	  2	  0	  0	  0	  0	  2	  2	  0	  9	  6	 29	 25	   	  0	  1	  2	  1	  1
    147	  1	 14.75000000	  1	  0	  2	  0	  0	  0	  0	  2	  2	  3	  0	 10	  2	 27	 17	 29	  1	  1	  2	  1	  1
    148	  1	 14.75000000	  2	  0	  0	  1	  0	  2	  0	  0	  3	  1	  0	  9	  6	 28	 16	 28	  1	   	   	   	   
    149	  1	 14.75000000	  2	  1	  1	  1	  0	  0	  1	  1	  0	  1	  1	  9	  4	 33	 25	 34	  0	  1	  0	  0	  0
    150	  1	 14.75000000	  0	  0	  1	  0	  0	  0	  0	  0	  1	  0	  0	  2	  6	 26	 17	 43	  1	  1	  0	  0	  0
    151	  2	 14.75000000	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  6	   	 28	 27	  0	  0	  0	  0	  0
    152	  2	 14.75000000	  2	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  2	  6	 26	 14	 37	  0	  0	   	   	   
    153	  2	 14.75000000	  1	  1	  0	  0	  0	  2	  0	  0	  3	  3	  0	 10	  4	 38	 31	 26	  1	  1	  0	  0	  0
    154	  2	 14.75000000	  1	  2	  2	  0	  0	  1	  2	  0	  3	  2	  0	 13	  2	 23	 21	 30	  1	  1	  0	  0	  0
    155	  2	 14.75000000	  0	  0	  0	  0	  0	  1	  0	  0	  2	  1	  0	  4	  6	 25	 17	 37	  0	  0	  0	  0	  0
    156	  2	 14.75000000	  0	  0	  1	  0	  0	  1	  0	  0	  2	  2	  0	  6	  6	 36	 32	 37	  0	  1	  0	  0	  0
    157	  2	 14.75000000	  3	  2	  3	  0	  0	  1	  3	  3	  2	  4	  3	 24	  6	 33	 17	 26	  0	  1	  1	  2	  1
    158	  2	 14.75000000	  3	  1	  0	  0	  0	  2	  1	  3	  3	  2	  1	 16	  6	 30	 30	 30	  0	  1	  4	  2	  1
    159	  1	 14.83333333	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  2	 28	 24	 34	  0	  1	   	   	   
    160	  1	 14.83333333	  1	  0	  2	  0	  0	  0	  1	  0	  1	  3	  0	  8	  2	 30	 17	 33	  0	  0	  0	  0	  0
    161	  1	 14.83333333	  1	  0	  0	  0	  0	  0	  1	  1	  2	  0	  0	  5	  1	 12	 10	 31	  0	  1	  0	  0	  0
    162	  1	 14.83333333	  3	  0	  0	  4	  0	  0	  0	  1	  1	  1	  0	 10	  2	 31	 28	 34	  0	  1	  1	  2	  1
    163	  1	 14.83333333	  1	  1	  0	  3	  0	  0	  0	  0	  0	  3	  0	  8	  6	 20	 14	 42	  0	  1	  1	  1	  1
    164	  1	 14.83333333	  2	  0	  0	  3	  0	  2	  0	  0	  2	  0	  0	  9	  1	 23	 34	 28	  1	  1	  1	  1	  1
    165	  1	 14.83333333	  1	  0	  0	  1	  0	  0	  0	  1	  1	  1	  0	  5	  2	 33	 20	 25	  0	  1	  1	  0	  0
    166	  1	 14.83333333	  4	  1	  0	  2	  0	  1	  0	  0	  3	  2	  4	 17	  4	 24	 10	 33	  1	  1	  2	  2	  1
    167	  1	 14.83333333	  2	  1	  0	  1	  0	  0	  0	  0	  1	  0	  0	  5	  1	 18	 16	 43	  0	  0	  2	  1	  1
    168	  1	 14.83333333	  1	  0	  0	  0	  0	  2	  0	  0	  1	  3	  0	  7	  4	 21	 23	 24	  1	  1	  0	  0	  0
    169	  2	 14.83333333	  3	  0	  1	  3	  1	  0	  0	  1	  3	  1	  0	 13	  4	 34	 17	 33	  0	  1	  0	  0	  0
    170	  2	 14.83333333	  3	  0	  0	  0	  0	  0	  1	  0	  2	  0	  0	  6	  4	 21	 19	 33	  0	  1	  0	  0	  0
    171	  2	 14.83333333	  0	  2	  2	  0	  0	  2	  1	  0	  3	  2	  0	 12	  4	 28	 30	 40	  0	  0	  0	  0	  0
    172	  2	 14.83333333	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  1	  6	 34	 14	 41	  0	  0	  0	  0	  0
    173	  2	 14.83333333	  3	  1	  2	  1	  0	  0	  2	  0	  0	  0	  0	  9	  1	 21	 25	 29	  1	   	  1	  1	  1
    174	  2	 14.83333333	  1	  1	  1	  0	  0	  1	  0	  0	  0	  0	  0	  4	  6	 21	 23	 38	   	  1	  0	  0	  0
    175	  2	 14.83333333	  0	  0	  0	  0	  0	  0	  0	  0	  1	  0	  0	  1	  6	 26	 14	 37	  0	  0	  0	  0	  0
    176	  2	 14.83333333	  0	  0	  0	  0	  0	  0	  0	  0	  2	  1	  0	  3	  2	 21	 20	 26	  1	  0	  0	  0	  0
    177	  1	 14.91666667	  2	  4	  1	  0	  0	  0	  0	  0	  2	  1	  1	 11	   	 20	 13	 40	  0	  1	  0	  2	  1
    178	  1	 14.91666667	  3	  0	  0	  3	  1	  0	  0	  1	  2	  3	  3	 16	  6	 32	 29	 30	  1	  1	  0	  0	  0
